gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
ABHD10,-0.3269867944053335,0.052973894311518104,0.23247026528575512,-0.09451652911957842,0.9457182643135121,1.275938099259315,False
ABCG8,0.07278761469802543,0.39741935962391606,-0.010159221587087703,0.06262839311093772,0.9457182643135121,0.40075098077665744,False
ABCG5,-0.04989975823335191,0.173166772025596,0.030490293185705543,-0.019409465047646363,0.9457182643135121,0.7615354385909261,False
ABCG4,0.07265941311395627,0.4998326024585198,-0.012965386795979097,0.05969402631797717,0.9457182643135121,0.30117541966605826,False
ABCG1,0.15152796837514576,0.4264892269967975,0.14183247542725824,0.293360443802404,0.9457182643135121,0.37009193451975164,False
OR08H10,0.024407339976264594,0.5383006723485685,-0.007031010847424053,0.017376329128840542,0.9457182643135121,0.2689750777412676,False
OR08H06,0.40896176059951295,0.07043013484310623,-0.5051048069118111,-0.0961430463122982,0.9457182643135121,1.1522414801216414,False
ABCE1,-0.17092668848235248,0.22322530362149487,-0.03351860679602296,-0.20444529527837543,0.9457182643135121,0.6512565776541533,False
ABCD4,0.039723428873479426,0.3794980240999377,0.007414524418081512,0.04713795329156094,0.9457182643135121,0.42079048096672955,False
OR08G08,0.11925939418916973,0.23216274955875102,0.05531220310365975,0.17457159729282948,0.9457182643135121,0.6342074614228707,False
ABCD2,0.32066805112399,0.07720705734506633,-0.3600658671450184,-0.03939781602102842,0.9457182643135121,1.1123429998464702,False
ABCD1,0.10288225728340501,0.23335561514574762,-0.0007528890875299085,0.1021293681958751,0.9457182643135121,0.6319817443932535,False
ABCC9,0.039849014703515206,0.5132174950946407,0.0007376819385898219,0.04058669664210503,0.9457182643135121,0.28969854736032685,False
OR08D07,0.3543681579623572,0.0065797829859183,0.20182179255878577,0.556189950521143,0.9457182643135121,2.181788430029267,True
OR08D04,0.09556599466988966,0.11087815717172106,-0.04979786822101617,0.04576812644887349,0.9457182643135121,0.9551540007770328,False
cOR52K5,-0.16266784828710942,0.29840066526559733,0.21148434294126192,0.048816494654152505,0.9457182643135121,0.5252002129659377,False
cOR52H9,-0.19622633585872434,0.27595501396981137,0.28609404703348534,0.089867711174761,0.9457182643135121,0.5591617106052805,False
cOR52H8,0.0789165948198686,0.39070072055236427,-0.0018239947059590274,0.07709260011390957,0.9457182643135121,0.40815578782403267,False
OR08D02,0.22230283346013313,0.1234275747086897,-0.08284391482214197,0.13945891863799117,0.9457182643135121,0.9085878045976864,False
cOR52H4,-0.012378454200222311,0.1134351710846673,-0.007031010847424053,-0.019409465047646363,0.9457182643135121,0.9452522696074124,False
cOR52E9,0.18651095755201397,0.20622773928678653,-0.2215591016315927,-0.03504814407957874,0.9457182643135121,0.6856529190285615,False
cOR52E17,0.13448563855101664,0.18066320607274897,-0.12715672910527384,0.007328909445742806,0.9457182643135121,0.7431302869888583,False
cOR52AD1,-0.1288686625781919,0.30096027676326703,-0.007031010847424053,-0.13589967342561596,0.9457182643135121,0.5214908224160235,False
cOR52AC1,0.0859088216525335,0.39624132949407187,0.14531201555838313,0.23122083721091663,0.9457182643135121,0.40204022785073035,False
OR08C09,0.17425900344227416,0.2531894542752865,-0.010865958804737565,0.1633930446375366,0.9457182643135121,0.5965543873017218,False
ABHD6,0.0976024574994892,0.41650896887294053,-0.12636446545631005,-0.028762007956820847,0.9457182643135121,0.38037564230019755,False
OR04E07,0.13056949576148508,0.3971988231002921,-0.14914174675304742,-0.018572250991562355,0.9457182643135121,0.40099204698885715,False
ABHD3,-0.15504452287276255,0.21922786110541365,0.06742501099857126,-0.08761951187419127,0.9457182643135121,0.6591042533106878,False
ABHD2,0.05286332263174155,0.5393280509387575,-0.040001442547006424,0.012861880084735124,0.9457182643135121,0.2681469910763822,False
ABHD16A,-0.05499052745792836,0.34144453815879616,0.042316359531096574,-0.012674167926831783,0.9457182643135121,0.4666798299845796,False
ACADS,0.045547869163388155,0.5051524196078928,-0.00469960118754119,0.040848267975846966,0.9457182643135121,0.29657756246127653,False
ACADM,-0.13536910554486997,0.1774453895678249,-0.006777028822998248,-0.14214613436786822,0.9457182643135121,0.7509352801217677,False
ACAD9,0.0841889084925572,0.4171807787462434,-0.06382292778398845,0.020365980708568748,0.9457182643135121,0.37967570953780083,False
ACAD8,-0.1296134578254238,0.2741488987423724,-0.14510579884009359,-0.2747192566655174,0.9457182643135121,0.5620134943403085,False
ACAA1,0.10706400792575707,0.19225900124359463,0.021714609443795857,0.12877861736955293,0.9457182643135121,0.7161133181121692,False
ABTB1,0.13418633970832283,0.14576455164148158,0.07354932101369753,0.20773566072202038,0.9457182643135121,0.836348078887023,False
ABT1,-0.07555961763999237,0.22295491439920911,0.025936146367299507,-0.049623471272692864,0.9457182643135121,0.6517829504373343,False
ABRA,0.12920699311918818,0.10761007426502867,-0.11154873272261168,0.017658260396576492,0.9457182643135121,0.9681470688842612,False
ABR,0.04942802422712332,0.42806510576515755,-0.03320468059342944,0.016223343633693887,0.9457182643135121,0.36849017275267704,False
