gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
SYNPO2L,-0.1184685456051668,0.001413327930810086,0.12808850607461697,0.009619960469450165,0.5548979185054713,2.849757058238146,False
ABHD15,-0.18676224451391094,0.001363927069361791,0.09138927236993337,-0.09537297214397755,0.5548979185054713,2.86520885124884,False
CLGN,-0.2239469791175945,0.0013138818809783912,0.1783832219998598,-0.045563757117734714,0.5548979185054713,2.881443676439182,False
ZRANB1,-0.1309993906934892,0.0012974144976414482,0.054970532259811654,-0.07602885843367754,0.5548979185054713,2.886921253461054,False
NANS,-0.2048772422377298,0.0015734802224480753,0.1484596188892853,-0.05641762334844448,0.5563261227522183,2.8031387114960085,False
ABCG4,-0.3956566904206989,0.0017470222651244029,0.3826913036247198,-0.012965386795979097,0.6016206700329699,2.7577015600662684,True
CCDC7,-0.3339743111013178,0.0020750307474483236,-0.13277668994103592,-0.46675100104235373,0.605359058737451,2.682975463603356,True
CDH2,-0.4054294416856266,0.0019302534363817541,-0.10684726589005872,-0.5122767075756853,0.605359058737451,2.714385665709259,True
ANXA9,-0.23544867121312238,0.0020242709127675784,0.0649324887678085,-0.17051618244531389,0.605359058737451,2.6937313653269985,False
ERLIN1,-0.14718101325134975,0.002151178031629204,0.08918687653649993,-0.05799413671484982,0.605359058737451,2.6673236458865257,False
XPC,-0.19302268019984184,0.002063414542718305,0.06930782391531277,-0.12371485628452907,0.605359058737451,2.6854135129239083,False
